FGYA1220.g1	FGYA-3.CPF_G17
FGYA1221.b1	FGYA-3.CPR_I17
FGYA1221.g1	FGYA-3.CPF_I17
FGYA1222.b1	FGYA-3.CPR_K17
FGYA1222.g1	FGYA-3.CPF_K17
FGYA1223.b1	FGYA-3.CPR_M17
FGYA1223.g1	FGYA-3.CPF_M17
FGYA1224.b1	FGYA-3.CPR_O17
FGYA1224.g1	FGYA-3.CPF_O17
FGYA1225.b1	FGYA-3.CPR_A19
FGYA1226.b1	FGYA-3.CPR_C19
FGYA1226.g1	FGYA-3.CPF_C19
FGYA1227.b1	FGYA-3.CPR_E19
FGYA1227.g1	FGYA-3.CPF_E19
FGYA1228.b1	FGYA-3.CPR_G19
FGYA1228.g1	FGYA-3.CPF_G19
FGYA1229.b1	FGYA-3.CPR_I19
FGYA1229.g1	FGYA-3.CPF_I19
FGYA1230.b1	FGYA-3.CPR_K19
FGYA1230.g1	FGYA-3.CPF_K19
FGYA1233.b1	FGYA-3.CPR_A21
FGYA1233.g1	FGYA-3.CPF_A21
FGYA1234.b1	FGYA-3.CPR_C21
FGYA1234.g1	FGYA-3.CPF_C21
FGYA1235.b1	FGYA-3.CPR_E21
FGYA1235.g1	FGYA-3.CPF_E21
FGYA1236.b1	FGYA-3.CPR_G21
FGYA1236.g1	FGYA-3.CPF_G21
FGYA1237.b1	FGYA-3.CPR_I21
FGYA1237.g1	FGYA-3.CPF_I21
FGYA1238.b1	FGYA-3.CPR_K21
FGYA1238.g1	FGYA-3.CPF_K21
FGYA1239.b1	FGYA-3.CPR_M21
FGYA1239.g1	FGYA-3.CPF_M21
FGYA1240.b1	FGYA-3.CPR_O21
FGYA1240.g1	FGYA-3.CPF_O21
FGYA1242.b1	FGYA-3.CPR_C23
FGYA1242.g1	FGYA-3.CPF_C23
FGYA1244.b1	FGYA-3.CPR_G23
FGYA1244.g1	FGYA-3.CPF_G23
FGYA1245.b1	FGYA-3.CPR_I23
FGYA1245.g1	FGYA-3.CPF_I23
FGYA1247.b1	FGYA-3.CPR_M23
FGYA1248.b1	FGYA-3.CPR_O23
FGYA1248.g1	FGYA-3.CPF_O23
